spp.names	lnCsize	lnMass	orderArctocyonia	orderArtiodactyla	orderCarnivora	orderChiroptera	orderCingulata	orderDasyuromorphia	orderDermoptera	orderDidelphimorphia	orderDinocerata	orderDiprotodontia	orderEulipotyphla	orderHyaenodonta	orderHyracoidea	orderLagomorpha	orderLeptictida	orderLitopterna	orderMacroscelididae	orderMicrobiotheria	orderMonotremata	orderMultituberculata	orderNotoryctemorphia	orderNotoungulata	orderPantodonta	orderPantolesta	orderPaucituberculata	orderPeramelemorphia	orderPerissodactyla	orderPholidota	orderPilosa	orderPlesiadapiformes	orderPrimates	orderProboscidea	orderRodentia	orderScandentia	orderSirenia	orderSparassodonta	orderTillodontia	orderTubulidentata	orderYalkaparidontia
Baiomys_taylori	4.18556497508697	2.00552585872967	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Balbaroo_nalima	5.81892512019844	9.1484649682581	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Barinya_wangala	5.0444772625935	6.09807428216624	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Barylambda_schmidti	6.08494600159855	13.3374747570213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bathyergus_suillus	5.05390286957657	6.6559292913056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Batomys_salomonseni	4.82834964257256	5.22445551794958	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Beamys_hindei	4.75391359777588	4.32809829264833	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Berylmys_bowersi	5.07080879567894	5.88243062608385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Bettongia_penicillata	5.42151002970104	7.07694937986859	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bison_bison	6.85377024621385	13.3448300116619	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Blarina_brevicauda	4.14900994220795	2.92100872735805	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Blarinella_quadraticauda	3.85735385400135	2.52572864430826	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Borhyaena_tuberata	5.88358205201415	10.0432494949113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Bradypus_tridactylus	5.58885667093051	8.38384463921824	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Caenolestes_fuliginosus	4.44656249645312	3.35480434209244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Caenomeryx_filholi	5.45460533460756	8.28399930424853	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Callosciurus_notatus	5.23217516274012	5.34467600552605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
