spp.names	lnCsize	lnMass
Cercopithecus_ascanius	5.94628993471539	8.1719498004399
Cerdocyon_thous	5.85842841004537	8.65550364611003
Chadronia_margaretae	5.8443425448005	8.9226582995244
Chaeropus_ecaudatus	4.82980787304274	5.39139778956405
Chaetodipus_penicillatus	4.37574129194598	2.74534598584591
Cheirogaleus_medius	5.13812029946851	5.28198471192714
Chibchanomys_trichotis	4.61317333829961	3.91182298542548
Chinchilla_lanigera	5.21872295388735	6.17436926716252
Chlamyphorus_truncatus	4.85348637602126	4.42520584876782
Chlorocebus_aethiops	5.99513789920973	8.21500372713021
Choloepus_hoffmanni	5.75965696589982	8.68160532766662
Chrysochloris_asiatica	4.47216654215021	3.61523291394564
Civettictis_civetta	5.96770099623674	9.39894051049351
Clethrionomys_glareolus	4.43319726540764	3.03158192644769
Colobus_angolensis	6.09696992474476	9.10390260962977
Condylura_cristata	4.52406948342464	3.87432113824413
Cormohipparion_occidentale	6.65318176091271	11.9250351157971
Craseonycteris_thonglongyai	3.74735485748095	0.672944473242426
Cricetomys_gambianus	5.2810072547733	7.14481751443355
Cricetus_cricetus	4.98808155791902	6.06134036201897
Crocuta_crocuta	6.44673308940683	11.0567455267108
Cryptoprocta_ferox	5.8867236379084	9.15904707758863
Ctenodactylus_sp	5.04949758076162	5.15675380222625
Ctenomys_conoveri	5.19904649568418	6.75692076127297
Cuniculus_taczanowskii	5.82776264693821	9.10497430074737
Cyclopes_didactylus	5.23439206097702	5.57575969126963
Cynocephalus_volans	5.26710485251992	7.13089883029635
Cynodictis_cayluxi	5.51941469201176	7.9373746961633
Cynohyaenodon_cayluxi	5.52969727981601	8.59267165259214
Dactylomys_boliviensis	5.30423182366882	6.59139934594575
Dactylopsila_trivirgata	5.27007338609829	6.02443983660193
Dasyprocta_leporina	5.71460051154878	8.00969203547827
Dasypus_novemcinctus	5.10958727281152	8.2812201935701
Dasyurus_hallucatus	5.05325042658388	6.15468822821
Daubentonia_madagascariensis	5.83874738641912	7.91255859380552
Delphinus_delphis	6.7258710447435	11.2806363451448
Dendrolagus_lumholtzi	5.78781366265641	8.80236762236153
Dendromus_mesomelas	4.20732112960818	2.32238772029023
Desmathyus_sp	6.11125593390075	9.33176122718052
Desmodus_rotundus	4.58959344638001	3.50134433026709
Dichobune_leporina	5.63446845935269	8.79543080504002
Dicrostonyx_richardsoni	4.55479924922088	4.44265125649032
Didelphis_virginiana	5.32122434756177	7.80060541416681
Dinomys_branickii	5.84546106426089	9.43348392329039
Diprotodon_optatum	6.59070923440708	14.8087623309746
Distoechurus_pennatus	4.72184431140431	3.96537418092514
Dromiciops_gliroides	4.52889737281668	3.2188758248682
Dugong_dugon	6.63717100179469	12.594730635322
Dymecodon_pilirostris	4.18645415269837	2.73825604315928
Echimys_chrysurus	4.9478152922904	6.41344256359036
Echinops_telfairi	4.44117017843197	5.02552390659001
Echymipera_kalubu	5.0776966864915	6.71557730692481
Ekaltadeta_ima	5.84677605302265	9.31470038730042
Elephas_maximus	7.35092966591536	15.0002376479292
Eliurus_webbi	4.84493915099105	4.11300274404063
Ellobius_sp	4.66751160944908	3.68887945411394
Enaliarctos_sp	6.16833286123562	11.3144745262464
Enhydra_lutris	6.31454231933282	10.2186971179442
Eonycteris_robusta	4.72060811732526	4.36131359307634
Eptesicus_andinus	4.08079349737018	2.21920348405499
Equus_quagga	6.79998423776177	12.8992198260901
Erethizon_dorsatum	5.92488392641038	8.91186155723278
Erinaceus_europaeus	4.92714416077587	6.65666225476097
Erophylla_bombifrons	4.40855328986879	2.78993736057439
Erythrocebus_patas	6.07051955654593	8.9829754230877
Eulemur_macaco	5.71812935708825	7.8121475035391
Euphractus_sexcinctus	5.62179032377306	8.46192569454776
Euryoryzomys_macconnelli	4.62656973986394	4.19705156041436
Eusmilus_bidentatus	5.89796351661328	10.4631033404715
Eutypomys_thompsoni	5.2456373339447	6.3919171133926
Felis_lybica	5.87218171535485	8.42794221749148
Funambulus_pennantii	4.96839741520133	4.62976523284347
Furipterus_horrens	3.83497204761241	1.14740245283754
Galadi_speciosus	5.05450129630431	6.83410873881384
Galago_senegalensis	5.14060167673274	5.37156782828763
Galemys_pyrenaicus	4.66397306172115	4.09717388923226
Galidictis_fasciata	5.47778635374974	6.30990009624304
Genetta_genetta	5.66996690553065	7.47089058044313
Geocapromys_ingrahami	5.22829471400439	6.59785486374165
Geomys_pinetis	4.97359422173294	5.3040508983958
Gerbilliscus_afra	4.79864781130945	4.52320062312084
Gerbillus_gerbillus	4.5319432561777	3.29546642702991
Giraffa_camelopardalis	6.96152246803573	13.7795255235519
Glis_glis	4.82667815772719	4.85273314184304
Glossophaga_soricina	4.23518919248043	2.29958058397375
Glossotherium_robustum	6.70234802231797	13.91383437402
Glyphonycteris_sylvestris	4.28180084794633	2.18717424148272
Glyptodon_sp	6.3258218704893	13.6670105496458
Gorilla_gorilla	6.60850790946218	11.6314992101556
Graphiurus_nagtglasii	4.85051288946627	3.40119738166216
Gustafsonia_sp	5.55929562773133	7.72753511047545
Halitherium_schinzi	6.53343909217426	12.4292161968444
Hapalemur_griseus	5.51082253501509	6.82001636467413
Hapalops_sp	5.99314883904654	10.7995755770928
Heptodon_sp	6.05161447356477	10.0858091093301
Herpestes_javanicus	5.41949363053314	6.62007320653036
Hesperocyon_gregarius	5.61621071503222	8.00636756765025
Heterocephalus_glaber	4.48387616840563	3.67275007218405
Heteromys_desmarestianus	4.69051725507275	4.30406509320417
Hippopotamus_amphibius	6.86802982010051	14.244894255607
Hipposideros_turpis	4.40184095251141	3.50585765220559
Homalodotherium_cunninghami	6.45371402834737	12.8992198260901
Homo_sapiens	6.75657739624003	10.9774763220602
Homotherium_serum	6.45854651388267	11.9183905730784
Hoplomys_gymnurus	5.06095469108911	5.63984821536011
Hsunycteris_thomasi	4.22468018441352	1.95868534054404
Hydrochoerus_hydrochaeris	6.08942921246523	10.7819707003196
Hydromys_chrysogaster	5.17898067994196	6.43962189972807
Hylobates_lar	6.06536480725553	8.62669492040116
Hylopetes_spadiceus	4.87320326285981	4.77153172320332
Hypsiprymnodon_moschatus	5.25017921495944	6.28086389419926
Hyrachyus_modestus	6.10749363687701	11.5129254649702
Hyracotherium_sp	5.72327567603062	9.27799902045
Hystrix_indica	5.50817476995802	9.56791690935737
Ignacius_graybullianus	5.02214015704822	5.53338948872752
Inia_geoffrensis	6.67276409070384	11.7070995027782
Ischyromys_typus	5.3272206568954	7.08930153530834
Isoodon_macrourus	5.1327795043934	7.31705967425302
Isothrix_bistriata	5.22186674968962	6.09805181000363
Jaculus_jaculus	4.71014196230838	4.09100566095659
Kerivoula_pellucida	3.91988657661007	1.42069578783722
Khirtharia_inflata	5.5025842775308	9.34548296591848
Kogia_breviceps	6.82339239934676	12.9750227895056
Kryptobaatar_dashzevegi	4.28945875871261	4.44652609254849
Lagostomus_maximus	5.62211976870586	8.4469724235158
Lama_glama	6.51875513388807	11.2685923675324
Laonastes_aenigmamus	5.21604930643286	5.92425579741453
Lasiorhinus_latifrons	6.06229132441643	10.1721320549608
Lasiurus_intermedius	4.29336594575341	3.13375357145137
Lemmus_lemmus	4.62199248186964	4.21390379727974
Lemur_catta	5.69705020095298	7.87339982566866
Leontinia_gaudryi	6.63036303334574	13.0170028617465
Lepilemur_mustelinus	5.36802460171388	6.50582890217214
Leporillus_conditor	4.96295317381636	5.79551048858273
Leptailurus_serval	6.0039409422566	9.39265859543125
Leptauchenia_sp	5.64478443935569	9.32705617167214
Leptictis_sp	5.10101254284069	6.74523634948436
Leptocyon_sp	5.6334210930369	8.08948247436075
Lepus_europaeus	5.8606880062837	8.24707070965803
Lonchophylla_robusta	4.41733340747443	2.61885462229774
Lonchorhina_aurita	4.24665519495815	2.7330679640775
Lophocebus_albigena	6.06785548873233	8.91176046659955
Lophostoma_brasiliense	4.18401939745131	2.278292400425
Lophuromys_sikapusi	4.6286715614833	4.13868037604215
Loris_tardigradus	5.20748749174077	5.51833604051472
Loxodonta_africana	7.47111852590888	15.15694873827
Lycaon_pictus	6.30701672536479	9.99879727779489
Lynx_rufus	6.09299838690802	8.76005622931563
Macaca_fascicularis	5.99264507374896	8.42711967631805
Macrophyllum_macrophyllum	4.14313079338896	2.08193842187842
Macropus_giganteus	6.1252709651685	10.416607242918
Macrotarsomys_bastardi	4.54339572135791	3.34814816057234
Macrotis_lagotis	5.4087831881917	7.11442792663992
Macrotus_waterhousii	4.31098175166751	2.78932292123095
Mandrillus_sphinx	6.27310185136866	9.72226898722336
Manis_javanica	5.494323616548	8.48914550686104
Marmota_caudata	5.44501695208463	8.37793112408273
Megacerops_coloradensis	6.83409773085044	15.2018049190842
Megaderma_spasma	4.4199492043746	3.20720802000052
Megaladapis_madagascariensis	6.22675746009943	10.7472075915754
Megalagus_turgidus	5.33827124990836	7.75147531802146
Megalonyx_jeffersonii	6.51968916080893	12.8212582846204
Megatherium_americanum	7.06101751404371	14.9818282229864
Mellivora_capensis	6.0909017653805	9.10497874520663
Mephitis_mephitis	5.50447713036897	7.78321984966069
Meriones_libycus	4.83529640289399	4.51447932070359
Merychippus_severus	6.50646112829152	11.6082356447746
Merycochoerus_proprius	6.23616533946642	11.7117763237154
Mesatirhinus_junius	6.39703678886005	12.7656884334656
Mesogaulus_paniensis	5.09864450317465	5.58529919388542
Mesohippus_bairdi	6.18605555970347	10.2576593662567
Microcebus_murinus	4.86188983364714	4.23410650459726
Microchoerus_erinaceus	5.16303840451489	5.48479693349065
Microgale_drouhardi	4.21572086145827	2.35137525716348
Micromys_minutus	4.23803521264345	1.94448055624572
Micronycteris_hirsuta	4.31577631654496	2.5564518169511
Micropteropus_pusillus	4.53924020959515	3.23396146228624
Microsyops_annectens	5.27475996173068	7.4301141385618
Microtus_yuldaschi	4.30993523222268	3.43398720448515
Miniopterus_schreibersii	4.05113807269657	2.43886271128659
Mirza_coquereli	5.23331484933651	5.78842994871649
Mixtotherium_sp	5.7551948791363	8.69951474821019
Molossus_molossus	4.15261599587612	2.61739583283408
Monodelphis_domestica	4.67450230471784	4.53742653390157
Monodon_monoceros	7.20152206667922	13.7516400163454
Mops_thersites	4.22377884784411	3.09058780456667
Mormoops_megalophylla	4.1356791419333	2.77819796100429
Mouillacitherium_elegans	5.33318165728804	6.49526555593701
Murina_cyclotis	4.04243956251679	2.2353763433006
Mus_musculus	4.42415473161066	2.96010509591084
Muscardinus_avellanarius	4.44076216498803	3.37382618486602
Mustela_nivalis	4.90634390018813	4.36246147917904
Mylodon_sp	6.70215876811364	13.9108207377686
Myocastor_coypus	5.67044417681196	8.75802733733337
Myosciurus_pumilio	4.49801497611595	2.79971738962803
Myospalax_myospalax	5.08498842881261	5.41610040220442
Myotis_adversus	4.07448488665784	2.34276688262688
Myrmecobius_fasciatus	5.14578092544222	6.23723027645847
Myrmecophaga_tridactyla	6.30115694352844	10.2932239436949
Mysateles_prehensilis	5.33107244693088	7.51659651048883
Mystacina_tuberculata	4.18957103365026	2.57566101305646
Myzopoda_aurita	4.16221106027142	2.2082744135228
Nandinia_binotata	5.6115521942465	7.68119129077089
Nannospalax_leucodon	4.98650988479573	5.23999945722352
Nasalis_larvatus	6.16156909535196	9.41455795161936
Nasua_nasua	5.89658239116753	8.23628810324348
Neacomys_spinosus	4.37839248180357	2.94443897916644
Necrolemur_antiquus	4.96161926004811	4.969813299576
Neofiber_alleni	4.82711544355466	5.58116276110829
Neohelos_stirtoni	6.33331615596982	11.1562505210315
Neomonachus_tropicalis	6.5938852979401	12.0015054797889
Neomys_fodiens	4.17836260034274	2.72523502585631
Neotoma_lepida	4.79933999387633	4.96897961882742
Nesodon_imbricatus	6.45388264888774	12.4292161968444
Nimbacinus_dicksoni	5.64983887485329	8.61250337122056
Nimbadon_lavarackorum	6.05709621072214	10.9114454729361
Niviventer_rapit	4.7544898871437	4.3786459265144
Noctilio_albiventris	4.36061272245689	3.39886132186461
Notharctus_tenebrosus	5.37393451839257	7.1693500166706
Nothrotheriops_shastensis	6.46507451083427	12.6760762747759
Notoryctes_typhlops	4.52386390231324	4.00733318523247
Nycteris_thebaica	4.2579638791868	2.21920348405499
Nycticeius_humeralis	3.93550885506921	2.21046980408624
Nyctiellus_lepidus	3.65316437776736	1.09861228866811
Nyctimene_rabori	4.75087180149477	4.22317743406507
Obdurodon_dicksoni	5.57665531829675	7.61972421378267
Ochotona_alpina	5.0615721909027	5.01063529409626
Ochrotomys_nuttalli	4.47082291694	3.1271990362963
Octodon_degus	5.00540730869704	5.31453514457087
Odobenus_rosmarus	6.67497824320498	13.8576081385786
Odocoileus_hemionus	6.45546142476985	11.3452233612972
Okapia_johnstoni	6.67937029447228	12.3458395444148
Oligoryzomys_flavescens	4.32018342238349	3.05870707271538
Orcaella_heinsohni	6.82958911222439	12.154779298511
Ornithorhynchus_anatinus	5.48645413267175	7.30266487315078
Orycteropus_afer	6.2829259361935	10.9362306573498
Oryctolagus_cuniculus	5.51467781504298	7.37184772153793
Otolemur_garnettii	5.45304989432017	6.69847764990454
Otospermophilus_variegatus	5.35284247448209	6.57169495751223
Oxydactylus_sp	6.27329890834281	12.4292161968444
Palaeolama_sp	6.65391195270099	13.837171261888
Palaeosyops_sp	6.40469655470383	12.1600287070288
Pan_troglodytes	6.45915276961312	10.7144177687525
Panthera_pardus	6.35021016909038	10.8666616794694
Papio_hamadryas	6.21023151729562	9.54731819505274
Paracynarctus_sinclairi	6.05881834187912	9.41434187776203
Paramylodon_harlani	6.68472982250479	13.9108207377686
Paramys_delicatus	5.51885723388039	7.90279434272525
Parapithecus_grangeri	5.50996525843165	7.92479591395644
Patriomanis_americana	5.46372613673727	8.00636756765025
Pedetes_capensis	5.57582420526404	7.84355447724433
Pekania_pennanti	5.89941419936525	8.22951111896446
Perameles_bougainville	5.0196328989847	5.44155153463394
Peromyscus_polionotus	4.37518925581362	2.65815943148875
Petaurista_leucogenys	5.50145878194137	7.07233707929808
Petauroides_volans	5.21229741348592	7.136618442087
Petaurus_australis	5.19738473067324	6.34062381900505
Petinomys_setosus	4.7748411928302	3.78077471881819
Petromus_typicus	4.90883564824714	5.41164605185504
Phacochoerus_africanus	6.31482275415128	11.3205534511106
Phalanger_orientalis	5.42981320647402	7.81903346903275
Phascogale_tapoatafa	4.94287278302487	5.26087507107217
Phascolarctos_cinereus	5.79672992001288	8.78396924806257
Phenacodus_primaevus	5.79897979647099	11.3144745262464
Philander_opossum	5.17945534426004	6.05399323738793
Phocoena_phocoena	6.57475695708452	10.8729574693878
Phyllostomus_hastatus	4.7810003690868	4.51568301948656
Pipistrellus_hesperus	3.76286124428069	1.26976054486394
Pithecia_pithecia	5.70115923477989	7.41889485346045
Planigale_ingrami	3.98399907038165	1.83577635464483
Platacanthomys_lasiurus	4.73968766085058	4.31748811353631
