spp.names	lnCsize	lnMass	lnMassSq
Kerivoula_pellucida	3.91988270003469	1.42069578783722	2.01837652157843
Khirtharia_inflata	5.5026940894237	9.34548296591848	87.3380518662724
Kogia_breviceps	6.82337167716558	12.9750227895056	168.35121638819
Kryptobaatar_dashzevegi	4.28946584912029	4.44652609254849	19.7715942917146
Lagostomus_maximus	5.62214645930286	8.4469724235158	71.3513431236364
Lama_glama	6.5188021127345	11.2685923675324	126.981173945609
Laonastes_aenigmamus	5.21592900700159	5.92425579741453	35.0968067531997
Lasiorhinus_latifrons	6.06229601434016	10.1721320549608	103.47227054356
Lasiurus_intermedius	4.293365394514	3.13375357145137	9.82041144658419
Lemmus_lemmus	4.62196821165256	4.21390379727974	17.7569852127286
Lemur_catta	5.69704176059967	7.87339982566866	61.9904248148393
Leontinia_gaudryi	6.6303813660858	13.0170028617465	169.442363502717
Lepilemur_mustelinus	5.36801830725422	6.50582890217214	42.3258097043383
Leporillus_conditor	4.96294269388569	5.79551048858273	33.5879418232724
Leptailurus_serval	6.00394071698233	9.39265859543125	88.2220354903285
Leptauchenia_sp	5.64470978397372	9.32705617167214	86.9939768295274
Leptictis_sp	5.10099770453284	6.74523634948436	45.4982134104051
Leptocyon_sp	5.63324960864827	8.08948247436075	65.4397267029898
Lepus_europaeus	5.86058511290905	8.24707070965803	68.0141752900994
Lonchophylla_robusta	4.41704409229813	2.61885462229774	6.85839953273024
Lonchorhina_aurita	4.24663926104456	2.7330679640775	7.46966049626672
Lophocebus_albigena	6.06780828991629	8.91176046659955	79.4194746140466
Lophostoma_brasiliense	4.18409957662477	2.278292400425	5.19061626183431
Lophuromys_sikapusi	4.62885978878336	4.13868037604215	17.1286752550364
Loris_tardigradus	5.20748771226498	5.51833604051472	30.4520326560437
Loxodonta_africana	7.47113320517369	15.15694873827	229.733095054545
Lycaon_pictus	6.30698918707823	9.99879727779489	99.9759470024386
Lynx_rufus	6.09296993816436	8.76005622931563	76.7385851407716
Macaca_fascicularis	5.99246551139935	8.42711967631805	71.0163460389868
Macrophyllum_macrophyllum	4.14313606713097	2.08193842187842	4.33446759249362
Macropus_giganteus	6.12526476882281	10.416607242918	108.505706453211
Macrotarsomys_bastardi	4.54340247692679	3.34814816057234	11.2100961051439
Macrotis_lagotis	5.40884709277096	7.11442792663992	50.615084723354
Macrotus_waterhousii	4.31055976269028	2.78932292123095	7.78032235890434
Mandrillus_sphinx	6.27304573811266	9.72226898722336	94.5225142599251
Manis_javanica	5.49443589970852	8.48914550686104	72.0655914366591
Marmota_caudata	5.44503603136499	8.37793112408273	70.1897299198741
Megacerops_coloradensis	6.83406650561896	15.2018049190842	231.094872797891
Megaderma_spasma	4.42031531854419	3.20720802000052	10.2861832835556
Megaladapis_madagascariensis	6.22676165093049	10.7472075915754	115.502471016417
Megalagus_turgidus	5.3383227480324	7.75147531802146	60.0853696058958
Megalonyx_jeffersonii	6.5197106603463	12.8212582846204	164.384664000947
Megatherium_americanum	7.0609326714099	14.9818282229864	224.455176903072
Mellivora_capensis	6.09090162862772	9.10497874520663	82.9006379506645
Mephitis_mephitis	5.50405261788642	7.78321984966069	60.5785112281522
Meriones_libycus	4.83548840696776	4.51447932070359	20.3805235370603
Merychippus_severus	6.50644809637236	11.6082356447746	134.751134784614
Merycochoerus_proprius	6.23609909384137	11.7117763237154	137.16570465674
Mesatirhinus_junius	6.3971300356057	12.7656884334656	162.962801180317
Mesogaulus_paniensis	5.09864496719865	5.58529919388542	31.1955670852172
Mesohippus_bairdi	6.18607450852417	10.2576593662567	105.219575674155
Microcebus_murinus	4.86187024938626	4.23410650459726	17.9276578922728
Microchoerus_erinaceus	5.16303167214142	5.48479693349065	30.0829974016285
Microgale_drouhardi	4.21565152698265	2.35137525716348	5.52896560000061
Micromys_minutus	4.23805285171186	1.94448055624572	3.78100463361766
Micronycteris_hirsuta	4.31573345916604	2.5564518169511	6.53544589239256
Micropteropus_pusillus	4.53932771043644	3.23396146228624	10.4585067395526
Microsyops_annectens	5.27466783291242	7.4301141385618	55.206596112056
Microtus_yuldaschi	4.30970326830226	3.43398720448515	11.7922681205677
Miniopterus_schreibersii	4.05113836827245	2.43886271128659	5.94805132450419
Mirza_coquereli	5.233321285424	5.78842994871649	33.5059212711979
Mixtotherium_sp	5.75509354535949	8.69951474821019	75.6815568543266
Molossus_molossus	4.15253960234022	2.61739583283408	6.8507609457372
Monodelphis_domestica	4.67448854560936	4.53742653390157	20.588239550554
Monodon_monoceros	7.2015245593316	13.7516400163454	189.107603139151
Mops_thersites	4.22378650196201	3.09058780456667	9.55173297773623
Mormoops_megalophylla	4.13568244399584	2.77819796100429	7.7183839105284
Mouillacitherium_elegans	5.33313470130963	6.49526555593701	42.1884746421417
Murina_cyclotis	4.0422326482116	2.2353763433006	4.99690739618794
Mus_musculus	4.42415172643785	2.96010509591084	8.76222217883732
Muscardinus_avellanarius	4.44078163488652	3.37382618486602	11.3827031256876
Mustela_nivalis	4.90637013404373	4.36246147917904	19.031070157321
Mylodon_sp	6.70214303273223	13.9108207377686	193.510933598333
Myocastor_coypus	5.6704526255313	8.75802733733337	76.7030428414785
Myosciurus_pumilio	4.49802654698137	2.79971738962803	7.83841746178561
Myospalax_myospalax	5.08482913270799	5.41610040220442	29.3341435667589
Myotis_adversus	4.07437843943964	2.34276688262688	5.48855666633326
Myrmecobius_fasciatus	5.14581569327302	6.23723027645847	38.9030415215702
Myrmecophaga_tridactyla	6.30115802947993	10.2932239436949	105.950459155055
Mysateles_prehensilis	5.33102727445412	7.51659651048883	56.4992231014928
Mystacina_tuberculata	4.18947751045951	2.57566101305646	6.63402965417905
Myzopoda_aurita	4.16218586482751	2.2082744135228	4.87647588541949
Nandinia_binotata	5.61158183868531	7.68119129077089	59.0006996454145
Nannospalax_leucodon	4.98676727804664	5.23999945722352	27.4575943117028
Nasalis_larvatus	6.16155514776909	9.41455795161936	88.6339014243993
Nasua_nasua	5.8965865694887	8.23628810324348	67.8364417196301
Neacomys_spinosus	4.37826013055894	2.94443897916644	8.66972090203471
Necrolemur_antiquus	4.9616082110005	4.969813299576	24.6990442326425
Neofiber_alleni	4.82711933856976	5.58116276110829	31.1493777659819
Neohelos_stirtoni	6.33351406492513	11.1562505210315	124.461925688016
Neomonachus_tropicalis	6.59392365498987	12.0015054797889	144.036133781403
Neomys_fodiens	4.17836558522945	2.72523502585631	7.42690594615405
Neotoma_lepida	4.79931774558468	4.96897961882742	24.6907584523223
Nesodon_imbricatus	6.45379507433412	12.4292161968444	154.485415267899
Nimbacinus_dicksoni	5.64984590661242	8.61250337122056	74.1752143192855
Nimbadon_lavarackorum	6.05708749037788	10.9114454729361	119.059642308858
Niviventer_rapit	4.75444058394202	4.3786459265144	19.1725401497812
Noctilio_albiventris	4.36060253732877	3.39886132186461	11.5522582852672
Notharctus_tenebrosus	5.37396864533259	7.1693500166706	51.3995796615347
Nothrotheriops_shastensis	6.4649325961356	12.6760762747759	160.682909723937
Notoryctes_typhlops	4.52380430071912	4.00733318523247	16.0587192574654
Nycteris_thebaica	4.25800177052381	2.21920348405499	4.92486410364183
Nycticeius_humeralis	3.93535449579101	2.21046980408624	4.88617675477706
Nyctiellus_lepidus	3.6531737195939	1.09861228866811	1.20694896081258
Nyctimene_rabori	4.75089090226494	4.22317743406507	17.8352276395964
Obdurodon_dicksoni	5.5766959877225	7.61972421378267	58.0601970941059
Ochotona_alpina	5.06155212445134	5.01063529409626	25.1064660504431
Ochrotomys_nuttalli	4.4708648897771	3.1271990362963	9.77937381261249
